Self class,Target class
"lakeside, lakeshore","grocery store, grocery, food market, market"
volcano,canoe
flamingo,"ruffed grouse, partridge, Bonasa umbellus"
"disk brake, disc brake","lion, king of beasts, Panthera leo"
dowitcher,"Dungeness crab, Cancer magister"
"hippopotamus, hippo, river horse, Hippopotamus amphibius","Irish setter, red setter"
"solar dish, solar collector, solar furnace","punching bag, punch bag, punching ball, punchball"
"sulphur butterfly, sulfur butterfly","green snake, grass snake"
Model T,palace
car wheel,head cabbage
car wheel,CD player
"pot, flowerpot",suspension bridge
soccer ball,potter’s wheel
strainer,soup bowl
holster,"Dungeness crab, Cancer magister"
barn,pillow
cardoon,lemon
"liner, ocean liner",bow
reflex camera,"heck, minibus"
"dining table, board",fountain pen
toyshop,consomme
"heck, cab, hack, taxi, taxicab",water jug
"warplane, military plane",suspension bridge
bee,stove
"heck, minivan","pool table, billiard table, snooker table"
"标 check, grille, radiator grille","hand-held computer, hand-held microcomputer"
"heck, cab, hack, taxi, taxicab","house finch, linnet, Carpodacus mexicanus"
Bernese mountain dog,"porcupine, hedgehog"
freight car,"iron, smoothing iron"
packet,totem pole
"warplane, military plane","Gila monster, Heloderma suspectum"
holster,"子, quilt, comforter, comfort, puff"
tile roof,"racket, racquet"
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
espresso,"harvestman, daddy longlegs, Phalangium opilio"
coffee mug,hamper
"racer, race car, racing car",vestment
"worm fence, snake fence, snake-rail fence, Virginia fence",typewriter keyboard
"Madagascar cat, ring-tailed lemur, Lemur catta","red-breasted merganser, Mergus serrator"
leafhopper,"rocking chair, rocker"
"common iguana, iguana, Iguana iguana",eel
Dutch oven,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
"greenhouse, nursery, glasshouse",hay
"hip, rose hip, rosehip","jackfruit, jak, jack"
park bench,table lamp
rapeseed,Band Aid
"switch, electric switch, electrical switch",bottlecap
castle,yawl
"parachute, chute",water tower
mountain tent,"spider web, spider’s web"
"heck, trolleybus, trolley coach, trackless trolley","fire screen, fireguard"
"tiger shark, Galeocerdo cuvieri","stupa, tope"
"heck, convertible","pay-phone, pay-station"
wreck,projector
"lampshade, lamp shade","disk brake, disc brake"
"racer, race car, racing car",fountain
Loafer,bottlecap
"lakeside, lakeshore","dhole, Cuon alpinus"
reflex camera,"lumbermill, sawmill"
cheeseburger,jellyfish
library,four-poster
"ballplayer, baseball player","gas pump, gasoline pump, petrol pump, island dispenser"
canoe,coffeepot
"sax, saxophone","maillot, tank suit"
altar,"frying pan, frypan, skillet"
coral fungus,"Sealyham terrier, Sealyham"
crash helmet,catamaran
hartebeest,"American chameleon, anole, Anolis carolinensis"
chainlink fence,bolete
viaduct,"bullet train, bullet"
tractor,Mexican hairless
crane,abacus
mountain tent,"stopwatch, stop watch"
bubble,"robin, American robin, Turdus migratorius"
bubble,mixing bowl
"heck, mountain bike, all-terrain bike, off-roader","letter opener, paper knife, paperknife"
"heck, police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria","confectionery, confectionary, candy store"
bison,"paddle, boat paddle"
"traffic light, traffic signal, stoplight","harmonica, mouth organ, harp, mouth harp"
"bell cote, bell cot",rifle
menu,jay
"stupa, tope","night snake, Hypsiglena torquata"
pelican,"bathtub, bathing tub, bath, tub"
school bus,magnetic compass
"brass, memorial tablet, plaque","horizontal bar, high bar"
hummingbird,"Old English sheepdog, bobtail"
"heck, pickup, pickup truck",muzzle
speedboat,"unicycle, monocycle"
daisy,bow
"seashore, coast, seacoast, sea-coast",fig
window screen,mousetrap
"grey fox, gray fox, Urocyon cinereoargenteus",combination lock
"lacewing, lacewing fly","pajama, pyjama, pj’s, jammies"
vestment,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
bison,"Scottish deerhound, deerhound"
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis","chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"
"heck, mountain bike, all-terrain bike, off-roader","wallaby, brush kangaroo"
mosque,"plunger, plumber’s helper"
"aircraft carrier, carrier, flattop, attack aircraft carrier",Welsh springer spaniel
"ringlet, ringlet butterfly","white stork, Ciconia ciconia"
"heck, police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria","liner, ocean liner"
"meat loaf, meatloaf","gorilla, Gorilla gorilla"
"车 check, moving van",schipperke
"heck, cab, hack, taxi, taxicab",rifle
"American black bear, black bear, Ursus americanus, Euarctos americanus","book jacket, dust cover, dust jacket, dust wrapper"
"heck, motor scooter, scooter","nematode, nematode worm, roundworm"
"junco, snowbird",rifle
electric guitar,"Dungeness crab, Cancer magister"
"pop bottle, soda bottle",spindle
"bow tie, bow-tie, bowtie",toy poodle
"aircraft carrier, carrier, flattop, attack aircraft carrier",banjo
conch,viaduct
daisy,"puck, hockey puck"
"restaurant, eating house, eating place, eatery","koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
wing,whistle
"grocery store, grocery, food market, market","microwave, microwave oven"
"heck, passenger car, coach, carriage","sunglasses, dark glasses, shades"
freight car,"stopwatch, stop watch"
"cello, violoncello",guillotine
"heck, streetcar, tram, tramcar, trolley, trolley car","slot, one-armed bandit"
dough,"sax, saxophone"
cannon,power drill
padlock,plate rack
"heck, beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon","seashore, coast, seacoast, sea-coast"
"heck, trolleybus, trolley coach, trackless trolley",mousetrap
vase,waffle iron
"heck, passenger car, coach, carriage","chain saw, chainsaw"
bison,"meerkat, mierkat"
"puck, hockey puck",table lamp
geyser,"chiton, coat-of-mail shell, sea cradle, polyplacophore"
"heck, fire engine, fire truck","ice cream, icecream"
"lumbermill, sawmill",safe
"dragonfly, darning needle, devil’s darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",spaghetti squash
football helmet,tennis ball
"restaurant, eating house, eating place, eatery","seat belt, seatbelt"
folding chair,power drill
go-kart,dough
volcano,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
Model T,shopping basket
menu,throne
plate,"iron, smoothing iron"
Model T,"pot, flowerpot"
"disk brake, disc brake","confectionery, confectionary, candy store"
"harvestman, daddy longlegs, Phalangium opilio",cardoon
"washer, automatic washer, washing machine",French bulldog
"drilling platform, offshore rig",weevil
shoji,whiskey jug
shopping cart,scabbard
yurt,"screen, CRT screen"
"pay-phone, pay-station",rifle
mosque,sarong
basketball,jacamar
"church, church building",scabbard
cabbage butterfly,banded gecko
crash helmet,"snowplow, snowplough"
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus","heck, fire engine, fire truck"
steel arch bridge,spatula
"meerkat, mierkat",Mexican hairless
sea urchin,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
"Afghan hound, Afghan","stupa, tope"
"heck, fire engine, fire truck",pill bottle
mushroom,bassinet
daisy,"hook, claw"
"maze, labyrinth","heck, minibus"
"lab coat, laboratory coat","monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
"thatch, thatched roof",briard
"solar dish, solar collector, solar furnace","hand blower, blow dryer, blow drier, hair dryer, hair drier"
"promontory, headland, head, foreland","toilet tissue, toilet paper, bathroom tissue"
basketball,triumphal arch
"stupa, tope",viaduct
"warplane, military plane",screwdriver
daisy,standard schnauzer
hummingbird,"bloodhound, sleuthhound"
"revolver, six-gun, six-shooter",rugby ball
velvet,"dogsled, dog sled, dog sleigh"
triumphal arch,"electric fan, blower"
fountain,alligator lizard
canoe,"heck, streetcar, tram, tramcar, trolley, trolley car"
"heck, moped",macaque
"ringlet, ringlet butterfly","malamute, malemute, Alaskan malamute"
beer glass,cabbage butterfly
"beacon, lighthouse, beacon light, pharos","remote control, remote"
damselfly,shopping cart
water tower,"medicine chest, medicine cabinet"
crane,head cabbage
"aircraft carrier, carrier, flattop, attack aircraft carrier",tripod
speedboat,"heck, mountain bike, all-terrain bike, off-roader"
turnstile,eggnog
kite,syringe
chainlink fence,mixing bowl
"racer, race car, racing car","book jacket, dust cover, dust jacket, dust wrapper"
"heck, minibus","African grey, African gray, Psittacus erithacus"
"grasshopper, hopper","lawn mower, mower"
"liner, ocean liner","harvester, reaper"
"seashore, coast, seacoast, sea-coast","bullet train, bullet"
manhole cover,"cello, violoncello"
"common iguana, iguana, Iguana iguana","hoopskirt, crinoline"
"sax, saxophone",oxcart
"heck, police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria","scale, weighing machine"
bittern,knot
"shield, buckler","horizontal bar, high bar"
steel arch bridge,"ringneck snake, ring-necked snake, ring snake"
"mailbox, letter box","ear, spike, capitulum"
birdhouse,jellyfish
"heck, minibus","tank, army tank, armored combat vehicle, armoured combat vehicle"
altar,apron
"maze, labyrinth","warplane, military plane"
"heck, fire engine, fire truck","studio couch, day bed"
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",hermit crab
"heck, beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon","bow tie, bow-tie, bowtie"
"chambered nautilus, pearly nautilus, nautilus",crutch
"heck, police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",cup
volcano,"maillot, tank suit"
"leaf beetle, chrysomelid","miniskirt, mini"
"liner, ocean liner",CD player
crash helmet,"assault rifle, assault gun"
"heck, jeep, landrover","house finch, linnet, Carpodacus mexicanus"
"prayer rug, prayer mat",Chihuahua
fountain,"hip, rose hip, rosehip"
pole,"heck, amphibian, amphibious vehicle"
"bell cote, bell cot",yawl
packet,rain barrel
"ant, emmet, pismire","brambling, Fringilla montifringilla"
"racer, race car, racing car","lab coat, laboratory coat"
stage,water jug
"disk brake, disc brake","washbasin, handbasin, washbowl, lavabo, wash-hand basin"
electric guitar,totem pole
"pedestal, plinth, footstall","sloth bear, Melursus ursinus, Ursus ursinus"
"gorilla, Gorilla gorilla","breakwater, groin, groyne, mole, bulwark, seawall, jetty"
vending machine,"车 check, moving van"
"heck, passenger car, coach, carriage",beer bottle
"heck, mountain bike, all-terrain bike, off-roader",golf ball
vestment,knot
tiger beetle,scorpion
"horse cart, horse-cart",Rhodesian ridgeback
"little blue heron, Egretta caerulea",gyromitra
"leaf beetle, chrysomelid",window screen
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus","mouse, computer mouse"
"dam, dike, dyke","sea slug, nudibranch"
"brass, memorial tablet, plaque",weevil
"cliff, drop, drop-off","ice cream, icecream"
"hand-held computer, hand-held microcomputer","dishwasher, dish washer, dishwashing machine"
"picket fence, paling",manhole cover
"racer, race car, racing car","chime, bell, gong"
stage,shopping basket
viaduct,toaster
Loafer,bath towel
"fox squirrel, eastern fox squirrel, Sciurus niger",analog clock
stretcher,"rubber eraser, rubber, pencil eraser"
"jean, blue jean, denim","Airedale, Airedale terrier"
"aircraft carrier, carrier, flattop, attack aircraft carrier","pool table, billiard table, snooker table"
"jersey, T-shirt, tee shirt","confectionery, confectionary, candy store"
schooner,"tank, army tank, armored combat vehicle, armoured combat vehicle"
fountain pen,"hook, claw"
mosque,wall clock
"pop bottle, soda bottle",plate rack
"heck, trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",honeycomb
"rock crab, Cancer irroratus","screen, CRT screen"
football helmet,paintbrush
"Siamese cat, Siamese",packet
"tank, army tank, armored combat vehicle, armoured combat vehicle",Lakeland terrier
"流, valley, vale","puck, hockey puck"
"heck, sports car, sport car",Chesapeake Bay retriever
scoreboard,"frying pan, frypan, skillet"
"cinema, movie theater, movie theatre, movie house, picture palace",dough
umbrella,"车 check, moving van"
"pizza, pizza pie",photocopier
"ballplayer, baseball player","perfume, essence"
"doormat, welcome mat","pirate, pirate ship"
"church, church building","ant, emmet, pismire"
palace,jack-o’-lantern
"megalith, megalithic structure",drumstick
monastery,"Shetland sheepdog, Shetland sheep dog, Shetland"
"hip, rose hip, rosehip",jay
drake,"parachute, chute"
"Indian elephant, Elephas maximus","saltshaker, salt shaker"
schooner,"chain saw, chainsaw"
"prayer rug, prayer mat",potter’s wheel
pill bottle,"English springer, English springer spaniel"
"ram, tup",soap dispenser
"bell cote, bell cot",hammer
wing,"backpack, back pack, knapsack, packsack, rucksack, haversack"
vase,marmoset
strawberry,coral fungus
"shield, buckler",Australian terrier
"mailbox, letter box",sarong
"lynx, catamount",fountain
mountain tent,conch
"promontory, headland, head, foreland","miniskirt, mini"
"French horn, horn",matchstick
comic book,plate rack
pickelhaube,Band Aid
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle","swimming trunks, bathing trunks"
"carousel, carrousel, merry-go-round, roundabout, whirligig",ping-pong ball
football helmet,trimaran
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",mixing bowl
balloon,pillow
mosque,"hognose snake, puff adder, sand viper"
dowitcher,cock
peacock,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"
"leaf beetle, chrysomelid",ping-pong ball
"crib, cot","gas pump, gasoline pump, petrol pump, island dispenser"
running shoe,langur
"carousel, carrousel, merry-go-round, roundabout, whirligig",rugby ball
"dial telephone, dial phone",desktop computer
"piggy bank, penny bank",barber chair
"heck, mountain bike, all-terrain bike, off-roader","cockroach, roach"
"tank, army tank, armored combat vehicle, armoured combat vehicle",soft-coated wheaten terrier
"brass, memorial tablet, plaque",freight car
"unicycle, monocycle",hammer
"barracouta, snoek",guillotine
"megalith, megalithic structure",rain barrel
"promontory, headland, head, foreland","miniskirt, mini"
badger,"bobsled, bobsleigh, bob"
"ballplayer, baseball player","barrel, cask"
"traffic light, traffic signal, stoplight",four-poster
"prison, prison house","tench, Tinca tinca"
comic book,"cellular telephone, cellular phone, cellphone, cell, mobile phone"
"meat loaf, meatloaf",Great Dane
electric guitar,potpie
stage,shovel
cabbage butterfly,Chesapeake Bay retriever
"worm fence, snake fence, snake-rail fence, Virginia fence","heck, amphibian, amphibious vehicle"
